Type,Air Temperature,Process Temperature,Rotational Speed,Torque,Tool Wear,Target,Failure Type,Temperature Difference,Power
L,302.3,310.9,1720,28.1,178,1,No Failure,8.599999999999966,5061.31519866
L,302.3,311.0,1561,37.2,180,1,No Failure,8.699999999999989,6080.992397046
M,302.3,311.0,1421,41.3,182,1,No Failure,8.699999999999989,6145.7196776115
H,302.2,310.9,1415,48.4,185,1,No Failure,8.699999999999989,7171.83714093
L,302.3,310.9,2034,19.7,190,1,No Failure,8.599999999999966,4196.099638899
L,302.4,311.0,1486,40.4,192,1,No Failure,8.600000000000023,6286.787659572
L,302.4,311.0,1338,67.6,194,0,Power Failure,8.600000000000023,9471.776176043999
H,302.4,311.1,1578,32.3,196,1,No Failure,8.700000000000045,5337.503080496999
M,302.4,311.2,1330,58.6,201,1,No Failure,8.800000000000011,8161.64826519
H,302.4,311.2,1506,40.8,204,1,No Failure,8.800000000000011,6434.484402024
L,302.5,311.4,1559,37.6,209,1,No Failure,8.899999999999977,6138.504486492
L,302.6,311.5,1599,37.0,211,1,No Failure,8.899999999999977,6195.534865065
L,302.6,311.5,1427,38.9,213,1,No Failure,8.899999999999977,5813.025015976499
M,302.5,311.5,1481,41.1,215,1,No Failure,9.0,6374.1972390705
H,302.5,311.5,1496,43.8,218,1,No Failure,9.0,6861.741002424
L,302.5,311.4,1674,27.0,223,1,No Failure,8.899999999999977,4733.12348649
M,302.5,311.4,1629,31.7,225,1,No Failure,8.899999999999977,5407.654844371499
H,302.6,311.5,1629,34.4,228,0,Tool Wear Failure,8.899999999999977,5868.2437427879995
L,302.6,311.6,1311,53.2,0,1,No Failure,9.0,7303.700256425999
M,302.7,311.6,2709,9.7,2,0,Power Failure,8.900000000000034,2751.7524180615
M,302.7,311.7,1759,29.9,5,1,No Failure,9.0,5507.6412664455
L,302.7,311.7,1480,45.2,8,1,No Failure,9.0,7005.33273048
L,302.7,311.8,1461,46.1,10,1,No Failure,9.100000000000023,7053.0954107355
M,302.7,311.8,1728,30.0,12,1,No Failure,9.100000000000023,5428.6720992
L,302.7,311.9,1389,46.5,15,1,No Failure,9.199999999999989,6763.6918958175
L,302.6,311.8,1638,35.1,17,1,No Failure,9.199999999999989,6020.736650019
L,302.6,311.7,1254,54.1,19,1,No Failure,9.099999999999966,7104.334786857001
L,302.6,311.8,1427,50.1,21,1,No Failure,9.199999999999989,7486.6980282885
L,302.6,311.8,1627,31.8,23,1,No Failure,9.199999999999989,5418.053516043
H,302.6,311.7,1471,48.3,25,1,No Failure,9.099999999999966,7440.2652889215005
L,302.6,311.7,1773,27.1,30,1,No Failure,9.099999999999966,5031.6062041665
M,302.6,311.7,1430,51.7,32,1,No Failure,9.099999999999966,7742.036206905
L,302.5,311.6,1595,29.5,35,1,No Failure,9.100000000000023,4927.3262721374995
L,302.5,311.5,1521,44.1,37,1,No Failure,9.0,7024.192758355501
L,302.5,311.6,1419,43.7,39,1,No Failure,9.100000000000023,6493.703423476501
M,302.4,311.4,1534,40.1,41,1,No Failure,9.0,6441.668177217
H,302.5,311.5,1626,36.0,44,1,No Failure,9.0,6129.87557868
L,302.5,311.5,1677,29.2,49,1,No Failure,9.0,5127.958850742
L,302.4,311.3,1392,50.5,51,1,No Failure,8.900000000000034,7361.37989748
L,302.4,311.2,1448,50.5,53,1,No Failure,8.800000000000011,7657.527364619999
L,302.3,311.2,1903,22.9,55,1,No Failure,8.899999999999977,4563.5507872185
L,302.4,311.2,1404,52.0,57,1,No Failure,8.800000000000011,7645.379873039999
L,302.3,311.2,1386,53.5,59,1,No Failure,8.899999999999977,7765.074553005
L,302.2,311.1,1418,47.0,61,1,No Failure,8.900000000000034,6979.15279173
M,302.3,311.1,1338,53.3,63,1,No Failure,8.800000000000011,7468.1312157269995
L,302.3,311.2,1549,40.6,66,1,No Failure,8.899999999999977,6585.7625600970005
M,302.3,311.2,1432,42.7,68,1,No Failure,8.899999999999977,6403.236027132
M,302.3,311.2,1546,40.0,71,1,No Failure,8.899999999999977,6475.8696492
M,302.2,311.2,1627,33.2,74,1,No Failure,9.0,5656.584173982
M,302.2,311.1,1640,32.8,77,1,No Failure,8.900000000000034,5633.085060959999
M,302.1,311.1,1423,36.8,80,1,No Failure,9.0,5483.796578231999
M,302.1,311.0,1711,28.7,83,1,No Failure,8.899999999999977,5142.3368731035
M,302.1,311.1,1450,51.6,86,1,No Failure,9.0,7835.1320691
H,302.2,311.1,1553,34.1,89,1,No Failure,8.900000000000034,5545.675481461501
L,302.2,311.1,1630,34.6,94,1,No Failure,8.900000000000034,5905.98474249
H,302.2,311.1,1476,39.6,96,1,No Failure,8.900000000000034,6120.827791848
H,302.2,311.1,1426,50.6,101,1,No Failure,8.900000000000034,7556.116753878
M,302.2,311.2,1561,34.9,106,1,No Failure,9.0,5705.017060669499
L,302.3,311.2,1297,62.5,109,1,No Failure,8.899999999999977,8488.8451396875
M,302.3,311.2,1842,23.9,111,1,No Failure,8.899999999999977,4610.161550168999
L,302.3,311.2,1633,36.4,114,1,No Failure,8.899999999999977,6224.667900906
H,302.3,311.3,1744,30.3,116,1,No Failure,9.0,5533.726957416
L,302.4,311.4,1831,26.9,121,1,No Failure,9.0,5157.856340794499
M,302.3,311.3,1339,50.8,123,1,No Failure,9.0,7123.163398805999
L,302.4,311.4,1475,40.4,126,1,No Failure,9.0,6240.25020045
M,302.4,311.4,1675,29.6,128,1,No Failure,9.0,5192.0054529
L,302.5,311.5,1493,35.1,131,1,No Failure,9.0,5487.7654569465
L,302.5,311.5,1700,29.5,133,1,No Failure,9.0,5251.69571325
L,302.6,311.6,1453,37.0,135,1,No Failure,9.0,5629.838748555
L,302.6,311.7,1542,34.1,137,1,No Failure,9.099999999999966,5506.395101361
M,302.5,311.5,1358,52.7,139,1,No Failure,9.0,7494.4368181830005
H,302.5,311.5,1655,32.3,142,1,No Failure,9.0,5597.951583157499
L,302.6,311.5,1885,27.5,147,1,No Failure,8.899999999999977,5428.4102998125
L,302.7,311.5,1494,41.4,149,1,No Failure,8.800000000000011,6477.084398358
M,302.6,311.4,1757,29.5,151,1,No Failure,8.799999999999955,5427.7819812825
M,302.6,311.4,1718,31.2,154,1,No Failure,8.799999999999955,5613.146419608
M,302.5,311.4,1636,35.0,157,1,No Failure,8.899999999999977,5996.2531713
L,302.6,311.6,1638,29.6,160,1,No Failure,9.0,5077.3163772240005
L,302.6,311.5,1609,36.0,162,1,No Failure,8.899999999999977,6065.78708862
H,302.7,311.5,1556,35.0,164,1,No Failure,8.800000000000011,5703.0378573
L,302.6,311.5,1442,59.8,169,0,Power Failure,8.899999999999977,9030.152025258
M,302.7,311.6,1501,38.8,171,1,No Failure,8.900000000000034,6098.7528674939995
M,302.6,311.6,2041,19.2,174,1,No Failure,9.0,4103.673983135999
M,302.7,311.7,1784,25.1,177,1,No Failure,9.0,4689.183077292
L,302.6,311.6,1953,22.4,180,1,No Failure,9.0,4581.196065935999
L,302.6,311.6,1576,34.7,182,1,No Failure,9.0,5726.830185636
M,302.6,311.6,1518,39.0,184,1,No Failure,9.0,6199.61893551
M,302.6,311.6,1227,68.2,187,0,Overstrain Failure,9.0,8763.095706057
L,302.5,311.5,1985,18.8,190,1,No Failure,9.0,3907.93181709
L,302.5,311.5,1802,26.4,192,1,No Failure,9.0,4981.811960663999
L,302.5,311.5,1603,32.4,194,1,No Failure,9.0,5438.850859386
L,302.5,311.6,1400,54.0,196,1,No Failure,9.100000000000023,7916.813478
L,302.3,311.5,1395,54.2,198,1,No Failure,9.199999999999989,7917.755955795
L,302.2,311.4,1987,19.9,200,1,No Failure,9.199999999999989,4140.7552483815
M,302.2,311.4,1398,47.2,202,1,No Failure,9.199999999999989,6909.995865528001
L,302.3,311.4,1333,66.7,205,0,Power Failure,9.099999999999966,9310.748608780501
L,302.2,311.2,1381,49.4,207,1,No Failure,9.0,7144.1282937569995
L,302.2,311.3,1570,36.1,0,1,No Failure,9.100000000000023,5935.201554135
M,302.2,311.3,1658,31.0,2,1,No Failure,9.100000000000023,5382.3859674899995
H,302.2,311.3,1749,29.2,5,1,No Failure,9.100000000000023,5348.121663653999
M,302.2,311.3,1510,37.1,10,1,No Failure,9.100000000000023,5866.505394855
L,302.3,311.5,1384,50.8,13,1,No Failure,9.199999999999989,7362.552758735999
L,302.3,311.4,1570,37.2,15,1,No Failure,9.099999999999966,6116.052571020001
M,302.3,311.4,1571,32.7,17,1,No Failure,9.099999999999966,5379.631837933501
L,302.3,311.4,1476,37.3,20,1,No Failure,9.099999999999966,5765.325167573999
M,302.3,311.4,1484,39.5,22,1,No Failure,9.099999999999966,6138.46259859
M,302.3,311.4,1909,23.2,25,1,No Failure,9.099999999999966,4637.912285244
L,302.3,311.5,1448,49.6,28,1,No Failure,9.199999999999989,7521.0565799040005
M,302.3,311.4,1500,40.2,30,1,No Failure,9.099999999999966,6314.601226500001
L,302.2,311.4,1510,44.9,33,1,No Failure,9.199999999999989,7099.894669245
L,302.2,311.3,1378,55.5,35,1,No Failure,9.100000000000023,8008.862142645
M,302.2,311.4,1538,37.4,37,1,No Failure,9.199999999999989,6023.605971305999
L,302.2,311.4,1390,48.1,40,1,No Failure,9.199999999999989,7001.458099545
M,302.2,311.4,1642,32.1,42,1,No Failure,9.199999999999989,5519.589790491001
L,302.4,311.5,1785,24.8,45,1,No Failure,9.100000000000023,4635.73411434
H,302.3,311.5,1526,38.2,47,1,No Failure,9.199999999999989,6104.449622166
M,302.3,311.6,1668,33.2,52,1,No Failure,9.300000000000011,5799.128704488
L,302.3,311.5,1507,37.5,55,1,No Failure,9.199999999999989,5917.975154437499
L,302.3,311.5,1530,37.8,57,1,No Failure,9.199999999999989,6056.362310669999
M,302.3,311.4,1479,45.6,59,1,No Failure,9.099999999999966,7062.551604612001
M,302.3,311.4,1418,41.3,62,1,No Failure,9.099999999999966,6132.744899967
L,302.3,311.4,1504,38.7,65,1,No Failure,9.099999999999966,6095.192395824
M,302.3,311.4,1345,47.6,67,1,No Failure,9.099999999999966,6704.36815461
H,302.2,311.4,1625,35.4,70,1,No Failure,9.199999999999989,6024.003906375
L,302.3,311.4,1511,34.7,75,1,No Failure,9.099999999999966,5490.634778233501
L,302.3,311.4,1535,41.8,77,1,No Failure,9.099999999999966,6719.133640064999
L,302.4,311.5,1505,37.9,79,1,No Failure,9.100000000000023,5973.1624653225
H,302.4,311.5,1540,43.7,81,1,No Failure,9.100000000000023,7047.43007199
H,302.3,311.4,1372,46.0,86,1,No Failure,9.099999999999966,6609.07317756
M,302.2,311.3,1510,36.6,91,1,No Failure,9.100000000000023,5787.44197983
L,302.2,311.3,1382,46.4,94,1,No Failure,9.100000000000023,6715.133345423999
L,302.3,311.3,1439,41.8,96,1,No Failure,9.0,6298.914207201
M,302.2,311.3,1375,47.0,98,1,No Failure,9.100000000000023,6767.514166875
M,302.2,311.3,1931,21.9,101,1,No Failure,9.100000000000023,4428.483247219499
L,302.2,311.3,1475,48.6,104,1,No Failure,9.100000000000023,7506.835637175
L,302.2,311.3,1389,46.9,106,1,No Failure,9.100000000000023,6821.8741916955
L,302.3,311.3,1652,32.8,108,1,No Failure,9.0,5674.302756528
L,302.3,311.2,1386,50.3,110,1,No Failure,8.899999999999977,7300.6214956290005
M,302.2,311.3,1577,29.8,112,1,No Failure,9.100000000000023,4921.262998323
M,302.3,311.3,1444,43.1,115,1,No Failure,9.0,6517.380560082
L,302.2,311.3,1554,40.2,118,1,No Failure,9.100000000000023,6541.926870654001
L,302.2,311.3,1602,32.8,120,1,No Failure,9.100000000000023,5502.562358327999
H,302.2,311.2,1692,28.2,122,1,No Failure,9.0,4996.640277972
L,302.3,311.3,1682,34.4,127,1,No Failure,9.0,6059.168800103999
L,302.3,311.3,1614,34.1,129,1,No Failure,9.0,5763.503043837
L,302.3,311.3,1324,47.8,131,1,No Failure,9.0,6627.420078636
L,302.3,311.4,1434,40.3,133,1,No Failure,9.099999999999966,6051.775585400999
L,302.3,311.3,1621,31.6,135,1,No Failure,9.0,5364.122842218
M,302.3,311.3,1625,33.1,137,1,No Failure,9.0,5632.6138220625
L,302.2,311.1,1394,53.7,140,1,No Failure,8.900000000000034,7839.090475839
L,302.1,311.0,1586,35.1,142,1,No Failure,8.899999999999977,5829.602153193
L,302.0,311.0,1420,45.9,144,1,No Failure,9.0,6825.42419139
L,302.1,311.2,1422,50.3,146,1,No Failure,9.099999999999966,7490.248027982999
H,302.1,311.2,1598,37.9,148,1,No Failure,9.099999999999966,6342.2681857709995
L,302.1,311.2,1454,59.2,153,0,Power Failure,9.099999999999966,9013.941407184
L,302.1,311.2,1519,39.3,155,1,No Failure,9.099999999999966,6251.4237983084995
L,302.0,311.1,1373,55.7,157,1,No Failure,9.100000000000023,8008.558455355501
M,302.0,311.1,1406,48.8,159,1,No Failure,9.100000000000023,7185.115605864
L,302.1,311.2,1492,45.0,162,1,No Failure,9.099999999999966,7030.8843507
L,302.1,311.2,1369,50.8,164,1,No Failure,9.099999999999966,7282.756305426
M,302.2,311.2,1471,41.9,166,1,No Failure,9.0,6454.3916274495
L,302.2,311.2,1630,36.0,169,1,No Failure,9.0,6144.9552234
M,302.1,311.1,1605,37.6,171,1,No Failure,9.0,6319.62777474
L,302.2,311.1,1447,52.1,174,1,No Failure,8.900000000000034,7894.6861937685
M,302.2,311.2,1360,52.8,176,1,No Failure,9.0,7519.71616704
M,302.2,311.1,1728,34.0,179,1,No Failure,8.900000000000034,6152.49504576
L,302.1,311.0,1740,30.8,182,1,No Failure,8.899999999999977,5612.14110996
L,302.1,310.9,1477,41.4,184,1,No Failure,8.799999999999955,6403.382634788999
L,302.1,310.9,1658,30.3,186,1,No Failure,8.799999999999955,5260.848219837
L,302.0,310.8,1902,23.4,188,1,No Failure,8.800000000000011,4660.741191833999
M,302.0,310.8,1783,23.1,190,1,No Failure,8.800000000000011,4313.1239651115
M,302.0,310.9,1558,45.3,193,1,No Failure,8.899999999999977,7390.848036537
L,302.1,311.0,1351,49.5,196,1,No Failure,8.899999999999977,7003.0812557475
H,302.1,310.9,1452,42.5,198,1,No Failure,8.799999999999955,6462.25608105
L,302.1,310.9,1666,30.7,203,1,No Failure,8.799999999999955,5356.017533181
L,302.1,311.0,1364,50.0,205,1,No Failure,8.899999999999977,7141.887291
M,302.1,311.0,1351,60.3,207,0,Overstrain Failure,8.899999999999977,8531.0262570015
H,302.1,311.0,1729,26.1,210,1,No Failure,8.899999999999977,4725.6779119095
M,302.1,311.0,1574,34.1,215,1,No Failure,8.899999999999977,5620.665298017
L,302.0,311.0,1566,37.8,218,1,No Failure,9.0,6198.864953273999
L,302.0,310.9,1455,43.2,220,1,No Failure,8.899999999999977,6582.26492028
H,302.0,310.9,1679,29.0,222,1,No Failure,8.899999999999977,5098.909590705
L,302.0,310.8,2143,17.3,227,1,No Failure,8.800000000000011,3882.3697248945
L,302.0,310.8,1447,42.7,229,1,No Failure,8.800000000000011,6470.3090302095
L,302.0,310.8,1383,50.3,231,0,Overstrain Failure,8.800000000000011,7284.819284599499
L,302.1,310.8,1772,27.1,233,1,No Failure,8.699999999999989,5028.7682988060005
L,302.0,310.8,1615,29.0,235,0,Tool Wear Failure,8.800000000000011,4904.549725424999
L,302.0,310.8,1454,36.6,0,1,No Failure,8.800000000000011,5572.808369982
L,302.0,310.8,1445,49.1,2,1,No Failure,8.800000000000011,7429.8142573725
M,302.0,310.8,1609,35.2,4,1,No Failure,8.800000000000011,5930.991819984
L,302.0,310.9,1546,34.4,7,1,No Failure,8.899999999999977,5569.247898311999
L,301.9,310.8,1567,39.3,9,1,No Failure,8.900000000000034,6448.9671441405
L,302.0,310.8,1767,27.4,11,1,No Failure,8.800000000000011,5070.090714128999
L,302.0,310.9,1539,34.2,13,1,No Failure,8.899999999999977,5511.798640719
L,302.0,310.9,1564,39.0,15,1,No Failure,8.899999999999977,6387.48617598
M,302.0,310.8,1445,46.3,17,1,No Failure,8.800000000000011,7006.1181286425
M,301.9,310.9,1419,47.7,20,0,No Failure,9.0,7088.0927528565
M,301.8,310.9,1881,20.9,23,1,No Failure,9.099999999999966,4116.8372563395
M,301.9,310.9,1421,46.2,26,1,No Failure,9.0,6874.8728597009995
L,301.9,311.0,1455,46.0,29,1,No Failure,9.100000000000023,7008.8932021499995
L,301.9,311.0,2691,12.1,31,0,Power Failure,9.100000000000023,3409.7904145304997
L,301.8,310.8,1505,41.2,33,1,No Failure,9.0,6493.253128530001
L,301.8,310.8,1456,46.6,35,1,No Failure,9.0,7105.193488848
L,301.8,310.8,1383,46.4,37,1,No Failure,9.0,6719.992342056
M,301.9,310.8,1563,39.2,39,1,No Failure,8.900000000000034,6416.137500948001
M,301.9,310.9,2305,16.1,42,1,No Failure,9.0,3886.2024679275
M,301.9,310.9,1456,43.6,45,1,No Failure,9.0,6647.777599008
L,302.0,311.0,1865,22.7,48,1,No Failure,9.0,4433.3631878025
L,301.9,310.9,1597,36.9,50,1,No Failure,9.0,6171.061858321499
L,302.0,310.9,1495,38.6,52,1,No Failure,8.899999999999977,6043.062901785
M,302.0,310.9,1456,47.2,54,1,No Failure,8.899999999999977,7196.676666816
L,301.9,310.8,1465,44.3,57,1,No Failure,8.900000000000034,6796.259739622499
M,302.0,310.9,1352,55.5,59,1,No Failure,8.899999999999977,7857.75153618
L,301.9,310.8,1906,21.7,62,1,No Failure,8.900000000000034,4331.230010751
L,302.0,310.9,1446,44.0,64,1,No Failure,8.899999999999977,6662.68969212
L,302.0,310.8,1948,19.7,66,1,No Failure,8.800000000000011,4018.683429978
L,301.9,310.7,1480,47.1,68,1,No Failure,8.800000000000011,7299.80468154
M,301.9,310.7,1511,37.6,70,1,No Failure,8.800000000000011,5949.506272668
M,301.9,310.7,1472,47.0,73,1,No Failure,8.800000000000011,7244.93152992
L,301.9,310.7,1429,51.0,76,1,No Failure,8.800000000000011,7631.871024645
L,301.9,310.7,1405,48.8,78,1,No Failure,8.800000000000011,7180.00528182
M,301.9,310.7,1405,47.9,80,1,No Failure,8.800000000000011,7047.5871516225
L,302.0,310.7,1348,58.1,83,1,No Failure,8.699999999999989,8201.525547894
L,301.9,310.6,1331,68.6,85,0,Power Failure,8.700000000000045,9561.604781883
L,301.9,310.6,1610,33.4,87,1,No Failure,8.700000000000045,5631.20010537
M,301.9,310.6,1412,46.5,89,1,No Failure,8.700000000000045,6875.68967379
L,302.0,310.7,1453,42.7,92,1,No Failure,8.699999999999989,6497.1382314405
L,302.0,310.6,1583,38.9,94,1,No Failure,8.600000000000023,6448.506377218499
M,302.0,310.6,1539,37.4,96,1,No Failure,8.600000000000023,6027.522490143
L,302.0,310.5,1635,39.8,99,1,No Failure,8.5,6814.428617114999
H,302.1,310.7,1294,62.4,101,0,Heat Dissipation Failure,8.599999999999966,8455.659449327999
L,302.0,310.5,1978,22.0,106,1,No Failure,8.5,4556.98485858
L,302.0,310.4,1357,58.0,108,0,Heat Dissipation Failure,8.399999999999977,8242.07303703
L,302.0,310.4,1336,58.2,110,0,Heat Dissipation Failure,8.399999999999977,8142.505493975999
L,302.0,310.4,1568,39.2,112,1,No Failure,8.399999999999977,6436.662572928
M,302.0,310.4,1567,36.4,114,1,No Failure,8.399999999999977,5973.089161493999
L,302.0,310.4,1611,35.6,117,1,No Failure,8.399999999999977,6005.845500858
H,302.0,310.5,1841,23.6,119,1,No Failure,8.5,4549.822027338
L,302.0,310.5,1567,36.1,124,1,No Failure,8.5,5923.8604046685
L,301.9,310.4,1376,54.9,126,0,Heat Dissipation Failure,8.5,7910.7816201119995
L,301.9,310.5,1477,42.4,128,1,No Failure,8.600000000000023,6558.053712923999
M,301.9,310.5,1590,40.3,130,1,No Failure,8.600000000000023,6710.127741134999
L,302.0,310.5,2197,15.8,133,1,No Failure,8.5,3635.0949674129997
M,302.0,310.4,1595,32.9,135,1,No Failure,8.399999999999977,5495.2215035025
H,302.0,310.5,1812,24.4,138,1,No Failure,8.5,4629.9535838639995
M,302.0,310.5,1573,32.1,143,1,No Failure,8.5,5287.646005141501
L,302.0,310.5,1651,30.9,146,1,No Failure,8.5,5342.372549104499
H,302.0,310.5,1459,43.2,148,1,No Failure,8.5,6600.360493944
L,301.9,310.4,1370,51.7,153,0,Heat Dissipation Failure,8.5,7417.195526895
L,301.9,310.4,1518,34.1,155,1,No Failure,8.5,5420.692453869
L,302.0,310.3,1648,29.6,157,1,No Failure,8.300000000000011,5108.313424704
L,302.0,310.4,1464,47.2,159,1,No Failure,8.399999999999977,7236.218846304
L,302.0,310.4,1895,23.2,161,1,No Failure,8.399999999999977,4603.8993088199995
L,301.9,310.4,1884,23.4,163,1,No Failure,8.5,4616.6332310279995
L,302.0,310.4,1450,46.6,165,1,No Failure,8.399999999999977,7075.91384535
L,302.0,310.4,1448,43.4,167,1,No Failure,8.399999999999977,6580.924507416
L,302.1,310.5,1389,49.6,169,1,No Failure,8.399999999999977,7214.604688872001
L,302.0,310.6,1583,35.2,171,1,No Failure,8.600000000000023,5835.152300208
L,301.9,310.5,1425,51.1,173,1,No Failure,8.600000000000023,7625.4307597125
L,302.0,310.5,1809,27.1,175,1,No Failure,8.5,5133.7707971445
L,301.9,310.5,1892,21.8,177,1,No Failure,8.600000000000023,4319.229126828
M,301.9,310.6,1475,47.8,179,1,No Failure,8.700000000000045,7383.266326275
L,302.0,310.6,1361,46.7,182,1,No Failure,8.600000000000023,6655.851492118501
M,302.0,310.6,1563,41.0,184,1,No Failure,8.600000000000023,6710.756059665
H,301.9,310.5,1472,39.7,187,1,No Failure,8.600000000000023,6119.654930592
L,302.0,310.6,1325,55.3,192,1,No Failure,8.600000000000023,7673.0782482375
L,302.0,310.6,1358,53.1,194,1,No Failure,8.600000000000023,7551.320589099
H,302.0,310.6,1346,54.7,196,1,No Failure,8.600000000000023,7710.117625581
M,302.0,310.5,1381,58.4,201,1,No Failure,8.5,8445.690128651999
L,301.9,310.5,1340,55.7,204,0,Overstrain Failure,8.600000000000023,7816.07307369
L,302.0,310.6,1366,47.7,206,1,No Failure,8.600000000000023,6823.3507402410005
L,302.1,310.7,1325,45.1,208,0,Heat Dissipation Failure,8.599999999999966,6257.7907594125
M,302.1,310.7,1376,46.3,210,0,Heat Dissipation Failure,8.599999999999966,6671.569927344
M,302.1,310.7,1364,47.8,213,0,Heat Dissipation Failure,8.599999999999966,6827.644250195999
L,302.2,310.6,1462,43.6,0,1,No Failure,8.400000000000034,6675.172286916
M,302.1,310.6,1517,38.9,2,1,No Failure,8.5,6179.648878231499
L,302.1,310.6,1385,53.6,5,1,No Failure,8.5,7773.97573218
L,302.1,310.6,1439,40.0,7,1,No Failure,8.5,6027.6690978
M,302.0,310.6,1623,34.3,9,1,No Failure,8.600000000000023,5829.633569119499
H,302.0,310.6,1438,43.2,12,1,No Failure,8.600000000000023,6505.358732208
L,301.9,310.4,1708,24.8,17,1,No Failure,8.5,4435.761270192
M,301.8,310.3,1666,32.7,19,1,No Failure,8.5,5704.943756841
L,301.9,310.4,1286,62.8,22,0,Heat Dissipation Failure,8.5,8457.251189604
L,301.9,310.3,1485,46.3,24,1,No Failure,8.400000000000034,7200.0591149024995
M,301.8,310.3,1409,52.5,26,1,No Failure,8.5,7746.3820767375
L,301.8,310.3,1765,27.3,29,1,No Failure,8.5,5045.8690347975
L,301.8,310.3,1688,28.8,31,1,No Failure,8.5,5090.888057472
M,301.7,310.3,1787,26.7,33,1,No Failure,8.600000000000023,4996.4831983395
L,301.7,310.1,1487,48.0,36,1,No Failure,8.400000000000034,7474.47723288
L,301.7,310.1,1384,50.5,38,1,No Failure,8.400000000000034,7319.07311646
L,301.7,310.2,1311,57.4,40,0,Heat Dissipation Failure,8.5,7880.3081714069995
H,301.7,310.2,1620,30.8,42,1,No Failure,8.5,5225.09689548
L,301.7,310.2,1331,61.2,47,0,Heat Dissipation Failure,8.5,8530.178026986
H,301.7,310.1,1462,38.3,49,1,No Failure,8.400000000000034,5863.740793323
L,301.7,310.1,1424,50.2,54,1,No Failure,8.400000000000034,7485.870742224
L,301.7,310.1,1500,39.6,56,1,No Failure,8.400000000000034,6220.3534469999995
L,301.8,310.1,1738,28.0,58,1,No Failure,8.300000000000011,5096.08215732
M,301.8,310.3,1465,46.5,60,1,No Failure,8.5,7133.7715099874995
L,301.8,310.3,1482,41.4,63,1,No Failure,8.5,6425.059624074
L,301.9,310.3,1398,44.0,65,1,No Failure,8.400000000000034,6441.52156956
L,301.9,310.3,1972,21.3,67,1,No Failure,8.400000000000034,4398.606701117999
L,301.9,310.4,1603,37.6,69,1,No Failure,8.5,6311.7528491640005
L,301.9,310.4,1610,34.8,71,1,No Failure,8.5,5867.238433139999
M,301.9,310.4,1373,48.0,73,0,Heat Dissipation Failure,8.5,6901.45073352
M,302.0,310.5,1425,44.7,76,1,No Failure,8.5,6670.3865941125005
M,302.0,310.4,1212,55.6,79,0,Heat Dissipation Failure,8.399999999999977,7056.771074136
M,302.0,310.4,1828,26.3,82,1,No Failure,8.399999999999977,5034.548829282
L,302.0,310.5,1370,44.4,85,0,Heat Dissipation Failure,8.5,6369.89325714
M,302.0,310.5,1823,25.1,87,1,No Failure,8.5,4791.6932454615
L,302.0,310.5,1263,60.6,90,0,Heat Dissipation Failure,8.5,8015.019664239
L,301.9,310.4,1889,21.5,92,1,No Failure,8.5,4253.0357696925
M,302.0,310.5,1639,32.9,94,1,No Failure,8.5,5646.8138208405
M,302.0,310.4,1608,33.1,97,1,No Failure,8.399999999999977,5573.688015924
H,301.9,310.3,1653,32.4,100,1,No Failure,8.400000000000034,5608.496862485999
L,302.0,310.4,1591,29.8,105,1,No Failure,8.399999999999977,4964.952080109
L,302.1,310.5,1696,30.9,107,1,No Failure,8.399999999999977,5487.985368432
L,302.2,310.6,1346,47.5,109,0,Heat Dissipation Failure,8.400000000000034,6695.2575359249995
M,302.2,310.5,1507,40.4,111,1,No Failure,8.300000000000011,6375.631899714
H,302.3,310.6,1525,48.7,114,1,No Failure,8.300000000000011,7777.2744044625
M,302.3,310.7,1559,33.9,119,1,No Failure,8.399999999999977,5534.4495237255
L,302.2,310.6,1632,30.5,122,1,No Failure,8.400000000000034,5212.53052488
L,302.1,310.5,1559,36.0,124,1,No Failure,8.399999999999977,5877.29152962
M,302.2,310.6,1355,51.5,126,0,Heat Dissipation Failure,8.400000000000034,7307.6063032875
M,302.2,310.5,1832,23.7,129,1,No Failure,8.300000000000011,4546.764210492
L,302.2,310.6,1386,50.0,132,1,No Failure,8.400000000000034,7257.0790215
M,302.2,310.6,1346,49.2,134,0,Heat Dissipation Failure,8.400000000000034,6934.877279316
L,302.3,310.7,1499,37.8,137,1,No Failure,8.399999999999977,5933.6517017609995
L,302.3,310.7,1612,33.4,139,1,No Failure,8.399999999999977,5638.195385003999
M,302.3,310.7,1544,39.7,141,1,No Failure,8.399999999999977,6418.985878284
L,302.5,310.9,1477,39.2,144,1,No Failure,8.399999999999977,6063.106262892
L,302.5,310.9,1624,34.4,146,1,No Failure,8.399999999999977,5850.231944927999
L,302.4,310.9,1349,46.1,148,0,Heat Dissipation Failure,8.5,6512.4063717195
L,302.4,310.8,1686,28.8,150,1,No Failure,8.400000000000034,5084.856199584
M,302.4,310.7,1521,40.4,152,1,No Failure,8.300000000000011,6434.861393142
L,302.4,310.7,1362,54.8,155,0,Heat Dissipation Failure,8.300000000000011,7816.031185787999
L,302.3,310.7,1402,50.9,157,1,No Failure,8.399999999999977,7472.990212359
L,302.2,310.6,1334,53.2,159,0,Heat Dissipation Failure,8.400000000000034,7431.835348644
L,302.2,310.6,1348,48.4,161,0,Heat Dissipation Failure,8.400000000000034,6832.2519194159995
M,302.2,310.6,1570,34.6,163,1,No Failure,8.400000000000034,5688.58653111
M,302.2,310.7,1601,33.0,166,1,No Failure,8.5,5532.658815915
